CONSECUTIVO;LETRA;CATALOG_KEY;NOMBRE;CAPITULO
122;A;A21;TULAREMIA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
123;A;A210;TULAREMIA ULCEROGLANDULAR;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
124;A;A211;TULAREMIA OCULOGLANDULAR;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
125;A;A212;TULAREMIA PULMONAR;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
126;A;A213;TULAREMIA GASTROINTESTINAL;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
127;A;A217;TULAREMIA GENERALIZADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
128;A;A218;OTRAS FORMAS DE TULAREMIA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
129;A;A219;TULAREMIA, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
130;A;A22;CARBUNCO [ÁNTRAX];CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
131;A;A220;CARBUNCO CUTÁNEO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
132;A;A221;CARBUNCO PULMONAR;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
133;A;A222;CARBUNCO GASTROINTESTINAL;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
134;A;A227;CARBUNCO SÉPTICO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
135;A;A228;OTRAS FORMAS DE CARBUNCO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
136;A;A229;CARBUNCO, NO ESPECIFICADO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
137;A;A23;BRUCELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
138;A;A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
139;A;A231;BRUCELOSIS DEBIDA A BRUCELLA ABORTUS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
140;A;A232;BRUCELOSIS DEBIDA A BRUCELLA SUIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
141;A;A233;BRUCELOSIS DEBIDA A BRUCELLA CANIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
142;A;A238;OTRAS BRUCELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
143;A;A239;BRUCELOSIS, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
144;A;A24;MUERMO Y MELIOIDOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
145;A;A240;MUERMO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
146;A;A241;MELIOIDOSIS AGUDA Y FULMINANTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
147;A;A242;MELIOIDOSIS SUBAGUDA Y CRÓNICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
148;A;A243;OTRAS MELIOIDOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
149;A;A244;MELIOIDOSIS, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
150;A;A25;FIEBRE POR MORDEDURA DE RATA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
151;A;A250;ESPIRILOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
152;A;A251;ESTREPTOBACILOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
153;A;A259;FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
154;A;A26;ERISIPELOIDE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
155;A;A260;ERISIPELOIDE CUTÁNEO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
156;A;A267;SEPSIS POR ERYSIPELOTHRIX;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
157;A;A268;OTRAS FORMAS DE ERISIPELOIDE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
158;A;A269;ERISIPELOIDE, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
159;A;A27;LEPTOSPIROSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
160;A;A270;LEPTOSPIROSIS ICTEROHEMORRÁGICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
161;A;A278;OTRAS FORMAS DE LEPTOSPIROSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
162;A;A279;LEPTOSPIROSIS, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
163;A;A28;OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
164;A;A280;PASTEURELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
